system;sector;region;grid
Amethia Prime;;Inner Rim;L-14
Algor;Cronese Mandate;Outer Rim Territories;S-6
Amfar;;Inner Rim;O-8
Algunnis;Trax;Mid Rim;Q-10
Amloch;Rayter;Outer Rim Territories;J-19
Alion;;Inner Rim;L-14
Ammon;Ciutric;Outer Rim Territories;N-5
Alios;Rachuk;Colonies;N-11
Ammuud;Corporate Sector;Outer Rim Territories;S-4
Alis Point;Tamarin;Outer Rim Territories;N-18
Amorphiia;Eidoloni;Mid Rim;L-16
Alisandor;Tapani;Colonies;L-13
Amorris;Quelii;Outer Rim Territories;O-6
Alk'Lellish;Sumitra;Expansion Region;N-7
Ampliquen;Meridian;Outer Rim Territories;R-7
Alkenak;;Core Worlds;M-12
Anadeen;;Inner Rim;O-9
Alland;;Core Worlds;K-10
Anantapar;Javin (Yarith);Outer Rim Territories;K-18
Allandor;Tapani;Colonies;L-13
Anarak;Wyl;Outer Rim Territories;R-4
Allanteen;Tynna;Expansion Region;O-14
Anaxes;Antemeridian;Outer Rim Territories;R-7
Allard;Svivreni;Outer Rim Territories;O-19
Ancathia;Albarrio;Outer Rim Territories;K-5
Alliga;Phelleem;Outer Rim Territories;S-7
Anchoron;Mayagil;Outer Rim Territories;M-18
Allst Prime;Taldot;Mid Rim;Q-8
Andalia;Hapes Cluster;Inner Rim;O-9
Alluuvia;Elrood;Outer Rim Territories;M-19
Andara;;Core Worlds;L-13
Allyuen;Javin (Anoat);Outer Rim Territories;K-18
Andasala;Cor'ric;Outer Rim Territories;P-18
Almagest, The;;Inner Rim;J-13
Andelm;Svivreni;Outer Rim Territories;O-19
Almak;Almak;Mid Rim;J-17
Ando;Lambda;Mid Rim;Q-15
Almakar;;Inner Rim;N-9
Andooweel;Arkanis;Outer Rim Territories;R-16
Almania;Mortex (Almanian);Outer Rim Territories;S-5
Andosha;Lambda;Mid Rim;P-15
Almar;Elrood;Outer Rim Territories;M-19
Andraven;Wazta;Outer Rim Territories;J-18
Almera;;Inner Rim;M-8
Andulia;Doldur;Mid Rim;P-15
Andurkoss;Nouane;Inner Rim;N-8
Aplooine;Grumani;Outer Rim Territories;N-17
Anduvia;Immalia;Expansion Region;K-8
Apoka;Dohlbani;Mid Rim;R-14
Anelsana;Farstey;Expansion Region;O-8
Aq Vetina;Relgim;Outer Rim Territories;M-4
Anemcoro;Albarrio;Outer Rim Territories;K-5
Aquaris;Sumitra;Expansion Region;N-7
Anga;Sarka;Mid Rim;Q-8
Aquella;Senex;Mid Rim;L-17
Angcord;;Inner Rim;I-13
Aquilae;;Colonies;N-12
Angeria;Venaarian;Mid Rim;O-8
Aquilaris;Sanbra;Outer Rim Territories;O-17
Angor;Myto;Outer Rim Territories;K-4
Aquilaris Minor;Grumani;Outer Rim Territories;M-17
Angrallia;Fath;Outer Rim Territories;K-6
Arabanth;Hapes Cluster;Inner Rim;O-9
Angratha;Senex;Mid Rim;L-18
Aradia;;Core Worlds;K-10
Anic;Xan;Mid Rim;Q-15
Arah;Dantus;Outer Rim Territories;J-6
Ank Ki'Shor;Indrexu;Outer Rim Territories;S-5
Arakein;;Inner Rim;N-8
Ank Kit'aar;Druess;Mid Rim;O-15
Aralia;Antemeridian;Outer Rim Territories;R-7
Ankhural;;Hutt Space;R-9
Aramal;Ryborean;Expansion Region;J-8
Ankori;Kossa;Expansion Region;P-10
Aramand;Brak;Expansion Region;O-14
Ankot Station;Brema;Outer Rim Territories;M-17
Aramanoo;Bheriz;Outer Rim Territories;U-10
Ankus;;Mid Rim;I-7
Arami;Galov;Outer Rim Territories;T-13
Annaj;Zuma (Moddell);Outer Rim Territories;H-16
Arantara;Daimar;Mid Rim;Q-16
Annamar;Bes Ber Bikade;Expansion Region;L-15
Arapia;Dalchon;Outer Rim Territories;R-18
Annoo;Tharin;Outer Rim Territories;S-8
Arashar;;Inner Rim;J-8
Anoat;Javin (Anoat);Outer Rim Territories;K-18
Arat Fraca;;Colonies;M-12
Anobis;Bright Jewel;Mid Rim;L-7
Arath;Tunka;Outer Rim Territories;J-19
Anorelga;Braxant;Outer Rim Territories;K-3
Arbiflux;Dalonbian;Outer Rim Territories;L-3
Anoth;;Wild Space;J-20
Arbooine;(Arboo);Outer Rim Territories;T-17
Ansarra;Iskin;Mid Rim;O-16
Arbra;Bon'nyuw-Luq;Outer Rim Territories;N-17
Ansata;;Core Worlds;M-11
Arbular;Lambda;Mid Rim;Q-15
Ansek;Eidoloni;Mid Rim;M-17
Arc of Eden;Immalia;Expansion Region;K-8
Ansillivog;Majoor;Expansion Region;N-15
Arcadi;;Inner Rim;N-10
Ansion;Churnis;Mid Rim;I-6
Arcan;Cronese Mandate;Outer Rim Territories;S-6
Anstares;Juvex;Mid Rim;L-17
Arcana;Lahara;Outer Rim Territories;M-5
Antakaria;Bothan;Mid Rim;R-14
Archae Teuthis;Brevost;Expansion Region;O-14
Antamont;Meridian;Outer Rim Territories;R-6
Archais;Hapes Cluster;Inner Rim;O-9
Antar;;Inner Rim;N-12
Archenar;Metatessu;Mid Rim;R-10
Antared;Esstran;Outer Rim Territories;Q-4
Archeon Nebula;Lothal;Outer Rim Territories;T-7
Antares;;Inner Rim;N-12
Arcopola;Spadja;Outer Rim Territories;Q-5
Anteevy;Esuain;Mid Rim;P-7
Arcura;;Inner Rim;L-8
Antemeridias;Antemeridian;Outer Rim Territories;R-7
Arda;Gordian Reach;Outer Rim Territories;Q-6
Anthan;Braxant;Outer Rim Territories;K-3
Ardennia;Fath;Outer Rim Territories;K-6
Anthus;Brema;Outer Rim Territories;M-17
Ardis;;Unknown Regions;G-3
Antillion;D'Astan;Outer Rim Territories;O-6
Ardroxia;Elochar;Mid Rim;R-9
Antine;;Outer Rim Territories;I-19
Ardru;Iseno;Inner Rim;N-13
Antipose;Centrality;Outer Rim Territories;U-8
Argai;Cronese Mandate;Outer Rim Territories;S-6
Antiquity;Senex;Mid Rim;L-18
Argai Minor;Haldeen;Colonies;M-9
Antmuel;Chopani;Outer Rim Territories;M-3
Argavat;;Colonies;J-13
Anto's Star;Saijo;Outer Rim Territories;K-20
Argazda;Kanz;Outer Rim Territories;N-4
Antolus;Sarka;Mid Rim;Q-8
Argo;Tragan Cluster;Outer Rim Territories;N-5
Anturus;Senex;Mid Rim;L-18
Argoba;Trilon;Outer Rim Territories;H-15
Anukara;Prackla;Expansion Region;O-8
Argoon;Tion Hegemony;Outer Rim Territories;S-6
Anx Minor;Raioballo;Outer Rim Territories;L-4
Argovia;Endocray;Mid Rim;S-14
Anzat;Bryx;Mid Rim;R-7
Argul;D'Aelgoth;Mid Rim;L-17
Anzell;Bryx;Mid Rim;R-7
Argus;Lambda;Mid Rim;P-16
Aostai;;Wild Space;I-13
Aria Prime;;Inner Rim;O-9
Apatros;Savareen;Outer Rim Territories;Q-16
Ariarch-17;Ariarch;Mid Rim;J-6
Apgar;Hilo;Expansion Region;O-13
Aricho;Danjar (Siannach);Outer Rim Territories;N-18
Aphran;;Inner Rim;K-8
Aridinia;;Inner Rim;M-13
Apiliria;;Wild Space;T-5
Aridka;Hertae;Mid Rim;Q-14
Aridus;Narvath;Expansion Region;O-14
Asog;Esstran;Outer Rim Territories;Q-4
Arieli;Authala;Expansion Region;P-12
Asran;Brak;Expansion Region;O-14
Aris;Albarrio;Outer Rim Territories;K-5
Asrat;;Inner Rim;N-8
Aris Minor;Parmel;Outer Rim Territories;O-18
Ast Kikorie;Zuma (Moddell);Outer Rim Territories;H-16
Arkam;;Inner Rim;M-14
Astenban;Seswenna;Outer Rim Territories;M-18
Arkania;;Colonies;M-8
Asteph'skaff;;Wild Space;I-6
Arkanis;Arkanis;Outer Rim Territories;R-17
Asterios;Narrant;Mid Rim;I-16
Arkax Station;;Inner Rim;M-14
Asternin;Tamarin;Outer Rim Territories;N-19
Arkinnea;Axion;Expansion Region;P-10
Astrali;Var Hagen;Mid Rim;M-16
Arkonne;Tarabba;Outer Rim Territories;M-19
Asturias;Epsi Collective;Expansion Region;M-16
Arkuda;Gordian Reach;Outer Rim Territories;Q-6
Asuin;;Hutt Space;S-11
Arleen;Centrality;Outer Rim Territories;T-8
Asusto;Gordian Reach;Outer Rim Territories;P-5
Arli;Mayagil;Outer Rim Territories;N-18
Asyrphus;Perkell;Mid Rim;Q-7
Armath;Mikaster;Expansion Region;N-15
At Attin;Quelii;Outer Rim Territories;N-6
Arnot Station;Far Xandil;Mid Rim;P-16
At Aytuu;Trilon;Outer Rim Territories;G-15
Arnt;;Inner Rim;N-8
Atalia;Varada;Outer Rim Territories;H-19
Arorua;Sertar;Outer Rim Territories;R-5
Atanu;Alderath;Mid Rim;L-7
Arporatal-Lanin;Juvex;Mid Rim;K-18
Atapap;;Inner Rim;N-12
Arquata Station;Bes Ber Bikade;Expansion Region;L-15
Atchorb;Corporate Sector;Outer Rim Territories;S-3
Arrakan;Kalamith;Outer Rim Territories;P-5
Athallia;Athallia;Expansion Region;M-15
Arramanx;Cronese Mandate;Outer Rim Territories;S-6
Athamar;Hewett;Mid Rim;M-7
Arreyel;;Inner Rim;M-14
Ather;Atravis;Outer Rim Territories;L-20
Arrgaw;Kira;Expansion Region;N-16
Athio;Mayagil;Outer Rim Territories;N-18
Arrochar;;Hutt Space;S-8
Athiss;Esstran (Sith Worlds);Outer Rim Territories;R-4
Arron Prime;Cassander;Outer Rim Territories;L-5
Athus Klee;Kalamith;Outer Rim Territories;P-5
Atoa;Ghost Nebula;Expansion Region;P-10
Arsteni;;Colonies;L-8
Atollon;Lothal;Outer Rim Territories;T-7
Artemesium;Lifh;Mid Rim;R-8
Ator;;Core Worlds;M-10
Artesia;Hangshan;Expansion Region;P-11
Atorra;Gordian Reach;Outer Rim Territories;Q-5
Arthon;Ottega;Mid Rim;L-6
Atraken;Rolion;Outer Rim Territories;Q-7
Arthuria;Merthian;Expansion Region;N-14
Atrakus;Mikaster;Expansion Region;M-15
Artiod Minor;Morellian CW*;Wild Space;S-3
Atravis;Atravis;Outer Rim Territories;L-19
Artom;Nuon e Safyd;Expansion Region;P-12
Atron;Senex;Mid Rim;L-18
Artorias;Myto;Outer Rim Territories;K-3
Attahox;Hocatar;Expansion Region;P-12
Artus Prime;Kwymar;Outer Rim Territories;Q-4
Atterol;Atravis;Outer Rim Territories;L-19
Aruza;;Expansion Region;I-14
Atterra;Kanz;Outer Rim Territories;N-4
Arvaka Prime;;Inner Rim;N-9
Aturi Cluster;Hook Nebula;Outer Rim Territories;O-18
Arvala;Sevetta;Outer Rim Territories;S-15
Atzerri;;Inner Rim;M-13
Arveesh Station;Eclorar;Mid Rim;Q-12
Aubadas;Tunka;Outer Rim Territories;I-19
Arvina;Quiberon;Outer Rim Territories;S-15
Aur;;Colonies;J-13
Arzid;Calaron;Outer Rim Territories;T-9
Auratera;Vorzyd;Outer Rim Territories;R-6
Asamin;Strabin;Mid Rim;M-7
Aurea;Corellian;Core Worlds;M-11
Asation;Veragi (Gree Enclave);Outer Rim Territories;K-3
Auril;Auril;Outer Rim Territories;R-6
Ash Moon 1;Jubilar (Kartovian);Outer Rim Territories;T-7
Aurimaus;;Wild Space;I-16
Ashas Ree;Esstran (Sith Worlds);Outer Rim Territories;R-5
Austan;Arkanis;Outer Rim Territories;R-16
Ashas Rine;Mortex;Outer Rim Territories;R-5
Avedot;;Colonies;L-8
Ashash;Zarracina;Expansion Region;N-14
Avenel;;Inner Rim;O-8
Asher;Sprizen;Outer Rim Territories;N-5
Avenelle;Lantillian;Mid Rim;P-9
Asheris;Tagge Space;Core Worlds;L-9
Averam;Seswenna;Outer Rim Territories;M-18
Ashkas-kov;Shelsha;Colonies;M-9
Averill;Teraab;Mid Rim;P-11
Ashteri's Cloud;Kessel;Outer Rim Territories;T-10
Avernio;;Unknown Regions;G-5
Askaj;Cegul;Outer Rim Territories;M-20
Avery;Belderone;Outer Rim Territories;R-6
Askaria;Askarian;Expansion Region;P-12
Avidich;Chiss Space*;Unknown Regions;E-8
Askkto-Fen;;Wild Space;P-19
Aviles Prime;Hythrope;Expansion Region;M-15
Asmall;Ara Dyelle;Inner Rim;O-9
Awalia;Raioballo;Outer Rim Territories;L-4
Asmeru;Senex;Mid Rim;L-17
AX-456;Barma;Colonies;M-9
Axion;Axion;Expansion Region;P-10
Baltro;Onatos;Mid Rim;R-15
Axtria;;Core Worlds;L-9
Bamasia;;Inner Rim;N-9
Axxila;D'Astan;Outer Rim Territories;O-5
Bamayar;Maldrood;Mid Rim;R-7
Aybaria;Steniplis;Outer Rim Territories;L-19
Bampa'k;Prefsbelt;Outer Rim Territories;K-5
Ayceezee;Kanz;Outer Rim Territories;N-4
Ban-Satir;Corporate Sector;Outer Rim Territories;S-4
Aylayl;;Hutt Space;S-12
Banas;Sanbra;Outer Rim Territories;O-17
Aynaboni;;Outer Rim Territories;J-5
Banasthau;;Inner Rim;O-11
Ayoh;Phelleem;Outer Rim Territories;S-7
Bancar;Rayter;Outer Rim Territories;J-19
Azbrian;;Core Worlds;L-12
Banchii;Jjannex;Outer Rim Territories;K-19
Azna;Demetras;Outer Rim Territories;P-6
Bandomeer;Meerian;Outer Rim Territories;O-6
Aztubek;Javin;Outer Rim Territories;K-18
Bandonia;;Core Worlds;L-10
Azum;Itopol;Expansion Region;K-15
Bandorra;;Colonies;N-10
Azura;Oricho;Outer Rim Territories;M-6
Banfoden Prime;Alchenaut;Expansion Region;L-16
Azure;Truum;Mid Rim;P-8
Bannistar Station;Hevvrol;Mid Rim;O-15
Azzameen Station;Garis;Outer Rim Territories;N-17
Bantoo;Samix;Outer Rim Territories;Q-19
B-Foroon;Arkanis;Outer Rim Territories;R-16
Bantu;Emmo;Core Worlds;M-12
B'Knos;;Wild Space;G-16
Banvhar Station;Kriz;Outer Rim Territories;J-18
B'nish;Tharin;Outer Rim Territories;S-8
Bar Neth;Albarrio;Outer Rim Territories;K-5
B'trilla;Gordian Reach;Outer Rim Territories;Q-5
Bar'leth;;Core Worlds;M-10
Baarstal;Sanbra;Outer Rim Territories;N-17
Baraan-Fa;Grumani;Outer Rim Territories;N-17
Babali;Corva;Outer Rim Territories;P-3
Barab;Albanin;Outer Rim Territories;U-12
Babbadod;;Inner Rim;N-14
Barabaras;;Mid Rim;J-15
Bacia;;Inner Rim;M-14
Barabesh;;Mid Rim;I-16
Bacrana;Brak;Expansion Region;O-14
Baraboo;;Core Worlds;M-11
Bactriasa;;Inner Rim;O-10
Baradas;;Colonies;L-8
Badfellow Station;;Core Worlds;M-10
Baralou;Varada;Outer Rim Territories;H-20
Badtibira;;Core Worlds;K-12
Baramorra;Carrion;Outer Rim Territories;J-4
Baes Logia;Quence;Outer Rim Territories;O-18
Barancar;Cronese Mandate;Outer Rim Territories;S-6
Baffia;;Deep Core;L-12
Barayfe;Alchenaut;Expansion Region;L-16
Baffop;Tamarin;Outer Rim Territories;O-19
Barbadel;;Core Worlds;K-13
Bahalian;Astal;Outer Rim Territories;P-18
Barbeen;;Deep Core;L-10
Bahlah;Thesme;Outer Rim Territories;O-6
Barcaria;Sombure;Mid Rim;K-16
Bajic;Bajic;Outer Rim Territories;P-18
Barcola;;Colonies;N-10
Bakisian Drift;Tragan Cluster;Outer Rim Territories;N-5
Bardelberan;Churnis;Mid Rim;J-6
Bakkah;Thrasybule;Outer Rim Territories;P-6
Bardotta;Shasos;Colonies;K-13
Baklek;;Inner Rim;N-12
Bardram Scoft;;Unknown Regions;D-7
Bakura;;Wild Space;G-16
Barenth;Drannik;Expansion Region;K-8
Bal'demnic;Auril;Outer Rim Territories;R-7
Barison;Gordian Reach;Outer Rim Territories;Q-6
Balagash;Hali;Expansion Region;O-9
Barkhesh;Seitia;Outer Rim Territories;K-19
Balaidas;;Colonies;L-8
Barlok;Marcol;Inner Rim;L-8
Balamak;Taldot;Mid Rim;Q-9
Barnaba;Tapani;Colonies;L-13
Balanor;Noonian;Outer Rim Territories;M-6
Barnahof;Yminis;Outer Rim Territories;S-14
Balaria;;Core Worlds;M-12
Baroli;Baroli;Expansion Region;N-14
Baldavia;Hapes Cluster;Inner Rim;O-9
Baroonda;Calaron;Outer Rim Territories;T-9
Baldur;Nojic;Expansion Region;P-9
Baros;Lothal;Outer Rim Territories;U-7
Balfron;Dolomar;Core Worlds;K-9
Barpine;Weneen;Outer Rim Territories;N-6
Balis-Baurgh;Sombure;Mid Rim;K-16
Barraken;Varada;Outer Rim Territories;H-19
Balith;;Inner Rim;N-7
Barroth;Kriz;Outer Rim Territories;K-19
Balli;Abrion;Outer Rim Territories;S-15
Bars Barka;Barsa;Mid Rim;J-6
Ballum;Kastolar;Mid Rim;Q-10
Barseg;Allied Tion;Outer Rim Territories;S-6
Balmorra;;Colonies;M-10
Bartokan;Tamarin;Outer Rim Territories;N-19
Balnab;Bright Jewel;Mid Rim;L-7
Barton;Colundra;Outer Rim Territories;S-5
Balosar;;Core Worlds;L-12
Barundi;Thanium;Outer Rim Territories;S-5
Balowa;Daalang;Mid Rim;Q-12
Basan;Churba;Mid Rim;P-15
Baltimn;Chorlian;Outer Rim Territories;S-4
Basarais;Kossa;Expansion Region;O-11
Baltizaar;Corthenia;Mid Rim;K-7
Basath;;Colonies;J-13
Basilisk;;Core Worlds;L-9
Belukat;Corpheli;Expansion Region;M-7
Baskarn;Noonian;Outer Rim Territories;M-6
Belvaria;Corweillian;Mid Rim;P-15
Baskron;Trax;Mid Rim;Q-10
Benath;;Wild Space;I-7
Bassadro;;Colonies;L-13
Bendeluum;Javin (Anoat);Outer Rim Territories;K-18
Bassel;;Inner Rim;N-13
Bendii;Seitia;Outer Rim Territories;K-19
Basta Core;Wyl;Outer Rim Territories;R-4
Bendone;Bosph;Outer Rim Territories;R-3
Bastatha;;Inner Rim;N-10
Benetage;Thanium;Outer Rim Territories;R-6
Basteel;Corva;Outer Rim Territories;P-3
Bengat;;Inner Rim;J-8
Bastion;Braxant;Outer Rim Territories;K-3
Bengely;Tamarin;Outer Rim Territories;N-19
Bastooine;Graador;Mid Rim;I-17
Benglor;Onatos;Mid Rim;R-15
Bathoris;;Inner Rim;N-8
Benja-Rihn;Sevastol;Mid Rim;Q-14
Batonn;Ash Worlds (Batonn);Outer Rim Territories;T-7
Benkal;;Wild Space;H-17
Bator Bai;Senex;Mid Rim;L-18
Bentora;Samix;Outer Rim Territories;Q-19
Batorine;;Colonies;J-9
Benwabula;Shadola;Outer Rim Territories;U-7
Batravia;Serathrace;Expansion Region;P-11
Ber de Val;;Colonies;M-9
Batuu;Trilon;Outer Rim Territories;G-15
Berason;Eclorar;Mid Rim;Q-12
Batuv;Askarian;Expansion Region;P-12
Berchest;Anthos;Inner Rim;N-8
Baummu;Shadola;Outer Rim Territories;U-8
Berea;Elrood;Outer Rim Territories;M-19
Bavana;Sertar;Outer Rim Territories;R-5
Beris;Fei Hu;Mid Rim;Q-13
Bavva;Javin (Anoat);Outer Rim Territories;K-18
Bernilla;;Inner Rim;L-14
Baylagon;;Core Worlds;M-10
Beroq;Baroli;Expansion Region;N-14
Baylin Cluster;Trans-Nebular;Mid Rim;R-16
Berri;;Inner Rim;N-9
Bayora;Extorin;Expansion Region;J-15
Berrol's Donn;Kriz;Outer Rim Territories;K-19
Bazaar;Halthor;Outer Rim Territories;M-6
Berrun;;Colonies;M-10
Bazarre;Cademimu;Outer Rim Territories;M-6
Berullia;Quence;Outer Rim Territories;O-18
Beauchen;Vensori;Mid Rim;P-8
Berzite;;Wild Space;U-8
Beckoning Call Starr;;Inner Rim;O-10
Bes;Airam;Outer Rim Territories;M-20
Bedlam;Thusa;Mid Rim;O-7
Besberra;Cegul;Outer Rim Territories;L-20
Bedlam Pulsar;Thusa;Mid Rim;O-7
Bescane;Obtrexta;Outer Rim Territories;K-3
Beetle Nebula;Bon'nyuw-Luq;Outer Rim Territories;N-18
Besero;;Deep Core;L-10
Begali;;Inner Rim;M-8
Beshka;Aparo;Outer Rim Territories;R-3
Begamor;Lahara;Outer Rim Territories;M-5
Besn;Mayagil;Outer Rim Territories;N-18
Begeren;Esstran (Sith Worlds);Outer Rim Territories;R-4
Besnia;;Colonies;N-12
Beheboth;Sanbra;Outer Rim Territories;O-17
Bespin;Javin (Anoat);Outer Rim Territories;K-18
Beixander;;Mid Rim;H-15
Bessimir;;Core Worlds;L-9
Belasco;Belasco;Expansion Region;O-11
Bestal;Varada;Outer Rim Territories;I-19
Belassar;Sarla;Expansion Region;J-8
Bestine;;Inner Rim;M-14
Belat;Vilonis;Mid Rim;O-16
Bestoon;;Colonies;J-9
Belazura;;Colonies;M-13
Beta Olikark;Wyl;Outer Rim Territories;S-4
Belderone;Belderone;Outer Rim Territories;R-6
